c1,c2,fitness,max_iters,omega,pop_size,run,prob_mut,prob_run_ga,step_size,n_clusters
2.0,2.0,0.08600953591937538,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06932420312346346,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06377631074514198,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06237163014004487,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.060954919342762405,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.060954919342762405,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.06040675593463644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.03506432661311321,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.018824041851278214,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.016521778680945766,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.009048595513759082,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.004955988704270827,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.004955988704270827,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.004284624009843301,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.004284624009843301,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.004284624009843301,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0024820342280194026,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0023425065350776374,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0020913254900416186,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0015458851008664297,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0015458851008664297,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.001226873267557271,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.001226873267557271,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.001226873267557271,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0011097778811512094,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0011097778811512094,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0011097778811512094,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0011097778811512094,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0011097778811512094,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0009791558676166697,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0008724215119165882,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0007038731927168318,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0006203011300202427,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.00046806773370392586,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.00040925680929613644,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.00038605063415761843,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.0002752088342640262,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.00023215407976339507,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.00018376482956139253,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.00014417486502503801,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,0.00011858381758294662,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,6.258016156605684e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,3.935788611499789e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,3.1485786167266406e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,2.6213192143240606e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,1.900058769429767e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,1.900058769429767e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,1.900058769429767e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,1.900058769429767e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,1.4535697813616685e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,1.2059880265715113e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,1.2059880265715113e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,1.2059880265715113e-05,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,9.360403742064195e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,9.360403742064195e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
2.0,2.0,7.561685003258491e-06,200,0.7298,200,1,0.2,0.1,0.2,10
