pso,hgapso,logapso
7078.954468032463,6491.725039689427,7037.451203223072
2369.4615650635774,2338.53296825332,2343.6180462005723
1087.2251003466001,771.508508959342,1104.1374520975005
532.4947793567143,276.73201146348794,537.0712930481733
303.208958476319,90.23269793263059,296.52236896812894
194.681815694278,30.69484040398954,187.88374441405261
129.86658086924135,10.333233188788025,124.11558800151758
90.88678142271661,3.501555976233449,84.92569541196451
65.29051832809921,1.2125555072431724,59.3886143843406
48.307781992705245,0.4464138040817149,42.57514832369892
36.303003423935436,0.18881417120935104,30.025753120700756
26.87888093867246,0.08734880687288545,21.628586813148946
20.447955192267965,0.032966612873949086,15.527549611957976
15.230789012673588,0.011103800238625899,11.03521747538179
11.282702545951372,0.0036023109084224987,7.98513069979453
8.308726918508773,0.0011216669524121644,5.715648768954034
6.133387489806407,0.00034527776178557457,4.153592548899614
4.492000408077553,0.0001365851176584703,3.068006014665186
3.2920593982415722,5.804172709176985e-05,2.225787895323948
2.395145167815303,2.4918703230529677e-05,1.6491841451163065
1.748059461358236,1.0147074488851361e-05,1.211623453788872
1.2536570085591847,5.452192090209612e-06,0.8941887723497374
0.8694925980913858,1.7147786913290517e-06,0.6536579153277036
0.6043648793358949,7.846092038534782e-07,0.47851564318878576
0.41869202595986243,3.539109710301174e-07,0.33971847299380653
0.28003616502058454,1.8143800025663734e-07,0.24740008409579245
0.19028534556089166,8.669854137740857e-08,0.16785683780793254
0.11542487168188269,4.8451682759175746e-08,0.11159220543409902
0.07413605069036674,1.751250652434271e-08,0.07076033411997662
0.044355292568137396,9.84748091236885e-09,0.04577520085122131
0.025593247586514812,4.488972092993183e-09,0.028716323685257183
0.014866398972855115,2.4294876321643847e-09,0.01575957830051888
0.00828035785038429,1.3590004278821765e-09,0.009131840043160401
0.004665605082519326,7.164442903148115e-10,0.005309769165505914
0.0025557094833878195,4.1953298281625803e-10,0.0027272802982293786
0.0013950952138221838,2.0048519907785157e-10,0.0015323939409052514
0.0007835667829548807,9.457057067345847e-11,0.0008545928840499016
0.0004248551337827868,3.0233445139398144e-11,0.0004928007478344822
0.00023914009157001144,1.593940975967923e-11,0.00028921698657274387
0.0001318465397530721,9.998285834877185e-12,0.00016885691919968937
7.337997134967297e-05,5.804039314195614e-12,0.00010192371589454698
4.1928741850224076e-05,3.951616077447685e-12,6.027325223590779e-05
2.3589063796257902e-05,1.7246060996078013e-12,3.582632498847602e-05
1.3573698095447497e-05,5.596102094961453e-13,2.037519258138568e-05
7.739468471388828e-06,2.912905916805354e-13,1.1349180436469537e-05
4.359091239437535e-06,1.3872233249791587e-13,6.2984255886376995e-06
2.5750232925547457e-06,8.298338617685134e-14,3.5214572669308632e-06
1.4558887365744426e-06,4.0578256997665105e-14,1.8582735010502748e-06
8.326874437408135e-07,2.320955527548627e-14,1.02999507318904e-06
4.870417316182961e-07,1.0223682617944944e-14,5.312548660706182e-07
2.7202407768309167e-07,5.534994074652402e-15,2.9767780033950056e-07
1.5898801627555623e-07,1.8982853731821083e-15,1.6804832840598093e-07
8.452597279475438e-08,1.1001441187358214e-15,9.177879248109002e-08
4.7267048712373315e-08,6.060264668570955e-16,5.348127792947819e-08
2.7020117094037268e-08,4.0384564049725245e-16,3.1068326011971304e-08
1.541743610506987e-08,2.114226481834331e-16,1.8632399035935e-08
8.791250063161723e-09,1.2251780360626224e-16,1.0579190504105477e-08
5.433595450994975e-09,6.683466081895731e-17,6.18097074864471e-09
3.2071018127419505e-09,2.415634897272786e-17,3.6295639706185468e-09
1.975347183889068e-09,1.1595436229786165e-17,2.177300144238874e-09
1.1946515766933064e-09,5.716303332177265e-18,1.14290631224593e-09
7.322329265308759e-10,3.578391428270527e-18,6.641099265608996e-10
4.4986926579538627e-10,2.09409439446751e-18,3.3695082724000067e-10
2.521249392941994e-10,1.2455820952581433e-18,1.9848437540834923e-10
1.4800854188399936e-10,6.6686267196987e-19,1.1047397645873783e-10
8.840993058321773e-11,5.064853631978936e-19,6.15805537474911e-11
5.301597701038768e-11,2.492040369987461e-19,3.5752171153822674e-11
2.90572263650215e-11,1.752485461923042e-19,2.0930908269993597e-11
1.684362266995127e-11,1.2868781741814175e-19,1.269503920004823e-11
9.80343056773087e-12,1.000815769366225e-19,7.032685875362889e-12
5.751469114284298e-12,7.361045160027895e-20,4.144172582446264e-12
3.2260452688234622e-12,4.848073352951829e-20,2.3160370102774406e-12
1.875848470093945e-12,4.47885837350649e-20,1.377113186794112e-12
1.1012756985576437e-12,3.273589848684305e-20,7.731800850418518e-13
6.224237054240991e-13,2.3456476333123715e-20,4.360937244956973e-13
3.5309044505491217e-13,1.7645203394166178e-20,2.5722438772533866e-13
1.947755222185168e-13,1.1356979917740762e-20,1.5461101278350547e-13
1.0583968329549787e-13,8.69285785783179e-21,8.667970547681681e-14
6.158751088133557e-14,6.2314930964975946e-21,5.144833139985499e-14
3.3572469451957465e-14,5.37196030740277e-21,2.779831642362102e-14
1.8186617070454325e-14,5.068833524457281e-21,1.5881690484841898e-14
9.970542802215482e-15,2.891886679398313e-21,8.874687312658062e-15
5.748409247339575e-15,1.0439977839206137e-21,4.896919776024148e-15
3.2883447074331965e-15,8.00063362505398e-22,2.846673304981772e-15
1.855813724359614e-15,4.370907364472632e-22,1.6341659676911724e-15
1.079515575038148e-15,3.189655371253002e-22,9.076894673018414e-16
6.204200711522693e-16,1.9976897950520877e-22,4.988306825826272e-16
3.6706990318970285e-16,1.3040387753843632e-22,2.8515654406236196e-16
2.1267168757232578e-16,1.0074001438940354e-22,1.576416244344487e-16
1.2057149263657591e-16,8.781507322280744e-23,8.867068019105089e-17
7.420087179879342e-17,5.619640886649579e-23,4.95097478580391e-17
4.175053822903146e-17,3.804905082276209e-23,2.841507872301912e-17
2.4561459176521084e-17,2.4896284060547165e-23,1.5934180079992012e-17
1.3681597698528778e-17,1.1388688847015551e-23,9.35122770314983e-18
7.954530038361292e-18,4.8941507836318766e-24,5.2493582127275255e-18
4.5835004834537705e-18,4.048139845106306e-24,2.996477293470095e-18
2.6132382202869026e-18,2.7185200992381446e-24,1.774446174786636e-18
1.5248365921950066e-18,1.5547219311096061e-24,1.0363211409716586e-18
9.165154488473279e-19,1.0782378345526041e-24,5.959756359823498e-19
5.332831115870306e-19,7.801404472950402e-25,3.274963488919536e-19
3.157391500298931e-19,5.778314238537713e-25,1.8656438266819392e-19
1.9034363337116158e-19,3.6611442456640073e-25,1.0716344527151613e-19
1.1404666821270934e-19,2.400654883391779e-25,6.094168740605708e-20
6.490104242470401e-20,1.68998157138729e-25,3.516080199926901e-20
3.8644450060450096e-20,1.4515647870014173e-25,2.0294062806842804e-20
2.0863151707365306e-20,9.626464660311077e-26,1.1849813629080794e-20
1.1701806123327909e-20,4.770715100434403e-26,6.578930602562254e-21
6.779315817936914e-21,2.971357893262774e-26,3.966794462385815e-21
3.976149810836379e-21,2.2130356268719817e-26,2.307372765805227e-21
2.1901563559792664e-21,1.2634793697013891e-26,1.3065547748683368e-21
1.3119037253479244e-21,7.12633802226376e-27,7.569586803547561e-22
7.002659220765907e-22,3.9774226731336865e-27,4.384386380643657e-22
4.124797301764289e-22,2.94019658626821e-27,2.672311755164552e-22
2.3927464605396564e-22,1.7791858211124345e-27,1.5310782870442924e-22
1.333239428988223e-22,1.3489948718804467e-27,8.822733032007595e-23
7.362992346114546e-23,1.0495876519038852e-27,5.176342279767576e-23
4.3594500068714563e-23,8.629483716138645e-28,2.930983568243471e-23
2.4781253530223548e-23,7.878069577993587e-28,1.5800462334205718e-23
1.3579759214892724e-23,5.079121703445547e-28,9.003769290008645e-24
8.078868004471318e-24,4.660448706148526e-28,5.26709361649669e-24
4.547339794646255e-24,3.7262988623872572e-28,2.960870428287457e-24
2.5544431277607956e-24,3.649953190077015e-28,1.647482912987474e-24
1.4697127665482871e-24,2.1400918300101223e-28,9.789332299126075e-25
8.513713909987934e-25,1.9890414449154758e-28,5.674423965548656e-25
5.126734458656981e-25,9.88102993269202e-29,3.2798207232054826e-25
3.023568258986868e-25,8.344929452519745e-29,1.8205254761108973e-25
1.7033646935301933e-25,6.613761495872976e-29,1.0114564356863058e-25
9.366589027198326e-26,6.13019200428814e-29,5.92396154556969e-26
5.645435861983337e-26,4.7242565051490096e-29,3.260528034737738e-26
