pso,hgapso,logapso
7898941.403198356,7905154.4144594865,7898025.083101632
7879895.573180569,7891904.637340966,7877331.325124246
7850117.690390763,7863162.7244715635,7848321.615830782
7812549.008724066,7822867.708136079,7807837.3719160855
7762818.975157386,7756620.812409177,7755150.6187391775
7705029.192279482,7646501.0179194715,7690555.018602702
7628202.713616286,7378567.394181075,7611602.042535134
7531709.216449278,5764215.963757308,7505665.031809965
7391085.42222057,-1522873.536332227,7370027.592499288
7146493.749111563,-10374176.380770158,7153241.920794368
6343459.276715959,-22900430.194748558,6633959.785489672
3309904.4863722166,-29192119.155150462,4582282.776862565
-3470394.551931335,-29837391.53355349,-1913807.533181961
-12257385.565509442,-30908585.69970556,-11835728.025209853
-23343331.187761154,-31968257.718982257,-24038147.640176903
-27349069.310474586,-34118515.16247372,-28911248.256136827
-30883661.212565463,-35231209.08949767,-29598323.15607214
-31757102.962685294,-37145620.95964819,-31013474.200306624
-32627991.26100692,-41663193.59082224,-32461656.861667443
-33900398.99064392,-58038909.142389014,-34170500.81930773
-35219114.28230541,-86266179.55836861,-35872254.67971208
-36675602.793235116,-186978573.9128344,-37940978.23624631
-38238477.969878495,-582173586.1784132,-39677305.86629442
-40087626.96441616,-1925454828.6527493,-42982242.084593356
-43796231.65398421,-8268113581.41572,-47655603.49169926
-47878233.91606604,-26933321931.076427,-58134742.67323069
-59600907.62606919,-83911585721.77946,-91404662.80049738
-83600722.49003153,-225477582980.31842,-160039200.01094538
-142968134.9835809,-781681347633.1145,-336864701.87616426
-258762630.3555511,-2473559344393.1655,-691134120.6067388
-534424751.5368072,-8407753904928.398,-1697277474.859678
-1238641822.4834266,-30504479158391.242,-3710902642.125692
-2597176800.1960883,-87872654336956.9,-9139687330.630253
-5729883887.939699,-292592237378229.9,-20798869515.51313
-12005876380.012442,-1013864769967848.6,-46625672020.419235
-30180916659.933544,-3692200116718984.0,-105463347420.97107
-70389525661.06178,-1.1593831892454496e+16,-208537613561.30347
-164296880449.65823,-3.597893688483273e+16,-501111659876.45605
-324828142304.1422,-1.3071041587965914e+17,-1159115588687.2468
-702732452278.2925,-4.728086925040726e+17,-2378918328292.9893
