pso,hgapso,logapso
187474.0011422054,186309.50872909176,185654.7176098092
170594.89581995117,178624.1864254921,168448.49908548506
155082.48349073445,163099.3161879866,153330.7620755551
144817.41485836805,141837.4573009304,145322.2158646668
109617.41263884996,105727.3122290466,139113.38242172662
97426.3306656468,91363.05934030026,114028.97589497559
65880.63327157541,41512.73696328222,76563.59303056347
17649.971503177185,32798.689327973596,47343.974131770854
-55725.60445557773,6103.102074383344,-1470.65951115482
-116122.36924635126,-43133.165085511886,-37520.70246150084
-229550.73440996613,-145470.55543789448,-88884.23336786324
-301755.5119797411,-346285.18115845456,-216938.45629899699
-333128.8185666645,-539146.0664076726,-297667.7759024204
-668196.5252267248,-810381.0021775026,-372580.54147783096
-846353.8585426,-1096764.8762944094,-604520.4101709065
-1019616.7036317808,-1741531.3144660213,-828197.6147093558
-1614871.8540917223,-2637647.5759238866,-1202351.4758772452
-2123085.505979708,-4439107.206232814,-1538550.3536438034
-2835914.911821418,-7358624.119422401,-2248642.0431408277
-4352927.620102096,-11328449.02526948,-3152074.348065554
-6672124.376277334,-18738401.064545583,-5160956.131030305
-8608690.459954988,-33960393.08002306,-6837978.437490801
-11849641.482091557,-53191477.60893776,-8890994.137509104
-16093553.079171073,-95714747.67146012,-11212466.977965374
-26962367.00721376,-137528390.4024741,-19672069.009893358
-37675685.92551454,-276385310.8654415,-29404386.81388665
-54981689.995164715,-425081880.54406434,-46198134.72478359
-81395629.42984179,-883836456.4831953,-82535433.37335016
-113550851.41312794,-1351591427.4069388,-123685166.77749841
-171362450.98226255,-2684207697.3687057,-188968636.23743623
-270287606.04790974,-3946262326.270468,-299148094.29887056
-448320077.17417175,-7057031790.997218,-504183399.12822294
-778640226.1945128,-12395654914.817858,-786868800.91368
-1290314195.3449407,-22407677130.810112,-1432164938.6849713
-2110399329.802114,-36262651732.729866,-2227152330.521222
-3853013202.903703,-66028529207.29405,-3464957983.2661347
-5755549637.890012,-122004498118.45724,-5583250721.24883
-8676811418.035927,-195165841164.31235,-9910741462.400244
-14453389032.040918,-357850401013.34515,-15562253219.990915
-25802029533.219704,-632530733467.8269,-26371965774.512196
-40377006390.61604,-1149681680813.7273,-47145830617.2253
-65094385235.75398,-2386601225134.3755,-79148968324.73727
-110864793125.14294,-4205973388395.072,-134189037001.477
-154937365200.39395,-7463624975334.95,-210397634313.9526
-247732907336.35065,-14781431233418.984,-366649194858.5547
-455211403258.59344,-24407983069882.65,-557900733734.271
-809594388145.5,-46700299762076.68,-949640667257.721
-1281998303099.3003,-87422780627800.38,-1476919131506.8914
-2250344519565.421,-157867032349199.66,-2443629160304.1987
-3608280837578.2344,-269509004198938.34,-4251681408919.715
-5803663494079.138,-502570079338809.1,-7791653782386.912
-9483450126090.506,-903910372161497.6,-11764393903775.516
-16676022274901.156,-1469209867007344.2,-22325424077655.633
-26703616394024.824,-2901247148983270.0,-39677048884993.12
-49012968525903.37,-5069205513107762.0,-73838326003551.12
-81335221665749.75,-8409627457468318.0,-121833227975154.62
-119336803262881.1,-1.5761161000071254e+16,-227848439635860.9
-191694120230993.8,-2.5493954918316984e+16,-369092071686093.1
-313957247769351.2,-4.858295905501501e+16,-578536866564085.2
-469425249199253.9,-8.293739168941517e+16,-897568237811255.1
-780364799195630.0,-1.5342670841400477e+17,-1741650903055377.0
-1164528598406935.0,-2.508112279577739e+17,-3293185964946963.5
-1835498525787818.5,-5.158538715446565e+17,-5285261589774301.0
-3093327782941639.5,-9.654478169884512e+17,-8914223717117394.0
-5211394297538491.0,-1.5011556830169705e+18,-1.5603403882638224e+16
-8947145569914397.0,-3.215699244271579e+18,-2.5299623641961052e+16
-1.4422807528265924e+16,-5.67286595749418e+18,-4.456322642677329e+16
-2.3383761086563036e+16,-9.591590445850417e+18,-7.820441645646258e+16
-3.90409108095738e+16,-1.7699019817858232e+19,-1.4640192638028102e+17
-6.690000035906648e+16,-2.7971870198064325e+19,-2.4567106595510637e+17
-1.1347023321706166e+17,-5.0954010749530776e+19,-4.1087148292160877e+17
-1.9101545220692448e+17,-8.852068060320843e+19,-6.293043822040913e+17
-3.138736243947172e+17,-1.5942401670487507e+20,-9.388903071394772e+17
-4.849051805091118e+17,-3.073462608430117e+20,-1.7476970789575736e+18
-7.826519069148588e+17,-5.6873972969638946e+20,-2.6937036962858716e+18
-1.3812951170035738e+18,-9.281435838554972e+20,-4.4321167751471237e+18
-2.1603069981252152e+18,-1.6678249486603227e+21,-7.386852296569034e+18
-3.275324732230654e+18,-2.8680987840630536e+21,-1.2854495005987023e+19
-5.129942451267149e+18,-5.590080462405327e+21,-2.2375943364511814e+19
-6.907060217556417e+18,-1.0712861556876203e+22,-3.411125711114261e+19
-1.107184648560403e+19,-1.7290085020581363e+22,-5.183802146004191e+19
-2.292215218946904e+19,-3.398042793732897e+22,-6.971423913163976e+19
-3.6252215684987675e+19,-5.878871982730115e+22,-1.4780214937783966e+20
-5.980262275648415e+19,-1.0029406074411315e+23,-2.5238273629424914e+20
-9.862198304169845e+19,-1.9302305146199416e+23,-4.4857608664865374e+20
-1.710750545332475e+20,-3.423110330873728e+23,-7.569913398153976e+20
-2.8660239758907864e+20,-5.626789535069443e+23,-1.2210337573100664e+21
-4.652154494492008e+20,-1.0310843170035556e+24,-1.8830023429730046e+21
-7.991373035480722e+20,-1.7884596164506556e+24,-3.0973198016423186e+21
-1.5063088012665828e+21,-3.163905648628974e+24,-6.136803379767344e+21
-2.3002349808708296e+21,-6.548104349275628e+24,-1.101570617179553e+22
-3.875329565063158e+21,-1.100100661927569e+25,-1.7181817249933545e+22
-6.09745889335844e+21,-1.8573370750419175e+25,-3.0615620596266514e+22
-1.1199015276918988e+22,-3.6864262327221316e+25,-4.922045830049736e+22
-1.5038270776716875e+22,-6.136613356709882e+25,-8.07291826821334e+22
-2.2470823358947643e+22,-1.1175326616903794e+26,-1.3665360558886991e+23
-3.442065176990589e+22,-1.9201102915248246e+26,-2.2686061373129156e+23
-4.844995050978716e+22,-3.212855648531771e+26,-3.75099242967048e+23
-7.483103879575331e+22,-5.67821969333753e+26,-6.0423192271290626e+23
-1.1626125936849947e+23,-1.0875738018386338e+27,-9.468474469909397e+23
-1.8821033105445166e+23,-1.9391564148435272e+27,-1.4842250140347032e+24
-3.2379880242885873e+23,-3.397620677832111e+27,-2.4010572853642795e+24
-5.093624088167621e+23,-6.23596640358093e+27,-3.8793287363103104e+24
-8.87608935273966e+23,-1.1708280524328708e+28,-6.564994752113523e+24
-1.4929133763992814e+24,-2.036768548778072e+28,-1.2573216135656613e+25
-2.4163726954369046e+24,-3.7791706251442267e+28,-2.273316518823553e+25
-3.6438094568519356e+24,-5.607225516465905e+28,-3.590354032631601e+25
-6.30082183914974e+24,-9.293671220406344e+28,-5.391735478996333e+25
-9.737065765443043e+24,-1.7346978702745287e+29,-8.74250837562115e+25
-1.562038573130111e+25,-3.4766699805216494e+29,-1.5451106164838932e+26
-2.790827573452704e+25,-5.9864223046458054e+29,-2.5455600188025567e+26
-4.695540099061946e+25,-1.126469518855786e+30,-4.092560939454175e+26
-8.02765803955972e+25,-2.1213770272958317e+30,-6.393826815170324e+26
-1.2565673984043086e+26,-4.199917662847658e+30,-1.1505868456062347e+27
-2.2260553919522598e+26,-7.582543989696593e+30,-1.9845172718934465e+27
-3.301299499588547e+26,-1.3926698546149833e+31,-3.4849453621323455e+27
-5.485594251115407e+26,-3.010359147262983e+31,-5.7133053019533e+27
-8.90109406799677e+26,-5.9488370823174125e+31,-9.700411063359539e+27
-1.3771316649922544e+27,-1.1843372957697608e+32,-1.4710411853690742e+28
-2.1722782734452364e+27,-2.127494797805773e+32,-2.681155701712896e+28
-3.9723450760747987e+27,-3.580599388972861e+32,-4.151501966586514e+28
-7.042785454496951e+27,-6.574393453558666e+32,-8.00001889365433e+28
-1.2153042156709932e+28,-1.0562371867362823e+33,-1.2805344129543557e+29
-1.9358314248545591e+28,-1.758387309817529e+33,-2.2233058296255377e+29
-3.187171416101826e+28,-2.920745424782539e+33,-4.1246739893989494e+29
-4.874013149183049e+28,-5.527337657646749e+33,-6.595085381764764e+29
-8.062927519342355e+28,-9.825589355800073e+33,-1.1919318452208021e+30
-1.3523723097705727e+29,-1.7067300231074496e+34,-1.816759424054687e+30
-2.154044889502539e+29,-2.8479329791523687e+34,-3.1174806275386074e+30
-3.4623168763237524e+29,-5.289077372923611e+34,-5.635736985572959e+30
-5.381024047421208e+29,-9.265897845064377e+34,-9.369283708753475e+30
-8.636778382744142e+29,-1.695782382608458e+35,-1.3725969096985227e+31
-1.2918660036325342e+30,-2.7403427518360355e+35,-2.069415351142233e+31
