pso,hgapso,logapso
1287.8939994747795,1947.4461351663108,1258.3913325535752
-1928.8858005448983,-877.6490716068693,-2125.533768784262
-5582.767955932861,-4632.344893440413,-4797.707604794295
-9984.357168998322,-9697.48018511793,-8400.989219040737
-22206.578523161435,-22926.514674142883,-23360.99292026572
-48699.552608759805,-65213.45912749901,-57335.11489680959
-110496.3749850927,-204498.70975027166,-135811.44381924352
-252665.85861911788,-729683.0214202718,-345144.3680236755
-531791.5137975898,-2503590.542652464,-767159.3840958783
-1115395.1583792972,-9108957.22304976,-1666846.4180201849
-2467398.9143345654,-29480636.849489987,-3682412.6795388823
-5210051.433338024,-96495181.08697465,-7788991.415649313
-11259913.858724575,-315954652.23033494,-16522983.905685896
-23051116.402174287,-990745862.6022384,-36065497.77551423
-49220412.28730009,-3629496706.3415194,-80591623.56849614
-106533114.99456878,-11800132310.958878,-181443509.81006616
-223741785.6612351,-39077621168.9223,-400659698.37577254
-475083457.3408624,-129861987784.95952,-934974827.6209128
-1010918687.6362374,-436896602069.0692,-2231253780.035033
-2198802606.5721846,-1474011916525.4285,-5179109734.848428
-4771491130.404531,-4922475696958.143,-11794175163.955349
-9887087581.999151,-17191227954266.375,-28091359514.133564
-22759946062.730667,-58625249737878.77,-63770362061.74341
-52376769920.28165,-203237910667285.5,-157427757366.7858
-114620497542.99222,-696636425035289.2,-374068858067.941
-265147153396.00986,-2333623738283017.0,-920631530142.075
-630654386176.0865,-8116368701431477.0,-2128724250649.7786
-1426197725648.5747,-2.705710345445081e+16,-4943656986592.098
-3263636755234.447,-9.342756214756958e+16,-11440697616737.953
-7815148571906.164,-3.1132095102391206e+17,-28074029026511.27
-17993147591575.26,-1.0579033813406655e+18,-64939930210411.6
-41701204753572.15,-3.6220301977544033e+18,-156326322765282.06
-91597461610492.62,-1.2487724810453643e+19,-353066624731463.0
-215450823820936.25,-4.299183316859116e+19,-759739809727966.8
-499871712717328.6,-1.4779723220721867e+20,-1697526619391600.5
-1129180676502866.5,-5.329032933160456e+20,-3648587238572313.5
-2591212781746963.0,-1.835669927483102e+21,-8144720525501794.0
-5991442532549813.0,-6.23667746718162e+21,-1.836193855798893e+16
-1.5176555673309376e+16,-2.139529423936541e+22,-4.056040668598068e+16
-3.638377370609234e+16,-7.386732280586619e+22,-8.849252537220421e+16
-8.46219067056984e+16,-2.595707501945847e+23,-1.9202406695929725e+17
-1.993165712383332e+17,-8.43499585868392e+23,-4.272724371137271e+17
-4.560724819974697e+17,-2.869947505637712e+24,-8.956699638612892e+17
-1.0690134671658758e+18,-9.934550962830388e+24,-1.9584234700179284e+18
-2.45051277832388e+18,-3.3945739145243086e+25,-4.4233883435750564e+18
-5.309844284509483e+18,-1.1808898947189758e+26,-9.176663812221927e+18
-1.1654836949018399e+19,-3.912717280590865e+26,-2.117245629559332e+19
-2.563347413373871e+19,-1.327192861387941e+27,-4.999978704642813e+19
-6.097664050291306e+19,-4.665152965503324e+27,-1.1184512074230678e+20
-1.3264421338248516e+20,-1.574296126124211e+28,-2.383626188753523e+20
-3.112837273890006e+20,-5.348797075081515e+28,-5.912830520064842e+20
-7.863095331891742e+20,-1.8174529571967268e+29,-1.3882172855533306e+21
-1.8611221198149808e+21,-6.233775169500283e+29,-3.546558720019359e+21
-4.337194674640321e+21,-2.1832178088353838e+30,-8.371869719233242e+21
-1.0460745698283568e+22,-7.55176282421305e+30,-1.9759704660284675e+22
-2.438099503055773e+22,-2.5379678700861605e+31,-4.5650745266300174e+22
-5.71530388958077e+22,-8.597932380038372e+31,-1.0492105126966837e+23
-1.3768256651555199e+23,-2.929845490562252e+32,-2.4564976424025446e+23
-3.135861176189918e+23,-1.0239240641083644e+33,-5.552728730944289e+23
-7.429375803073578e+23,-3.5222892652906953e+33,-1.2708805880131813e+24
-1.6707576233712994e+24,-1.233672050257352e+34,-2.996857699616431e+24
-3.99752262749851e+24,-4.254480483578135e+34,-6.650743808706738e+24
-9.79190986654098e+24,-1.4334375480805173e+35,-1.4648246159893175e+25
-2.4263514577026164e+25,-4.947832899280008e+35,-3.4095627864681894e+25
-5.60218178637646e+25,-1.662755253519481e+36,-7.9026897124739e+25
-1.3355589720154753e+26,-5.72241466572361e+36,-1.907179427934254e+26
-3.180518566987625e+26,-1.986934699424271e+37,-4.701073555201623e+26
-7.141374324770115e+26,-6.828872180395404e+37,-1.201098870621321e+27
-1.7347381928351014e+27,-2.33074821581678e+38,-2.779006931844039e+27
-4.0151906688901393e+27,-8.159846251409587e+38,-6.42141275500211e+27
-9.453931235743291e+27,-2.863681913886782e+39,-1.4433606887596841e+28
-2.185583391321377e+28,-9.811938770404084e+39,-3.317116278740101e+28
-5.271824386510713e+28,-3.2673773599783157e+40,-7.633055706531135e+28
-1.1657563279064929e+29,-1.1252414088865036e+41,-1.9195832452177062e+29
-2.6036063205341785e+29,-3.779564599063852e+41,-4.430989992427904e+29
-5.9041510447204076e+29,-1.2594509122524598e+42,-9.820033006354773e+29
-1.4069445414309792e+30,-4.31341479410573e+42,-2.2412076795478778e+30
-3.145656322707059e+30,-1.4948742310108433e+43,-4.830260818515169e+30
-6.999948271514119e+30,-4.987202222197916e+43,-1.0438431944929047e+31
-1.739661917389153e+31,-1.7118636499873954e+44,-2.4191147025556044e+31
-4.194190268686692e+31,-6.0020171756307956e+44,-5.357821908451975e+31
-9.451028229215335e+31,-2.0621574516128703e+45,-1.1528833232753129e+32
-2.2129032246148016e+32,-7.32159229111362e+45,-2.4659215423539138e+32
-5.001862760078973e+32,-2.471613960889553e+46,-5.328008382507521e+32
-1.1344740188974385e+33,-8.557507831788679e+46,-1.1242484548156685e+33
-2.6030638564593943e+33,-2.978152973398246e+47,-2.4877822725157335e+33
-5.675443788834032e+33,-1.0269572313431542e+48,-5.795498364551384e+33
-1.292266722103255e+34,-3.650257569764328e+48,-1.3193480709999937e+34
-2.6843579773403814e+34,-1.2704878323546623e+49,-3.100809238258459e+34
-5.8022145109526225e+34,-4.146216893987826e+49,-7.034850427253121e+34
-1.3231414528999276e+35,-1.4326789021784648e+50,-1.6464494090406127e+35
-2.9187781875570925e+35,-5.1083257668409e+50,-4.2505994493926875e+35
-6.571009810538257e+35,-1.7472124774947962e+51,-1.0323988975260162e+36
-1.4050842919896268e+36,-6.047806807969449e+51,-2.4603569663043318e+36
-3.276316399173057e+36,-2.0427556317905498e+52,-5.93864516312056e+36
-7.186765910564698e+36,-7.198031012620947e+52,-1.4801700453270917e+37
-1.6857801069734013e+37,-2.4643372959442814e+53,-3.4690260271004607e+37
-3.8638467890315275e+37,-8.535306851572937e+53,-8.443042602037618e+37
-9.026913907362508e+37,-2.929414355870598e+54,-2.1723658649660356e+38
-2.0780026912602713e+38,-1.0101391585846563e+55,-5.243592244824788e+38
-4.443496653708241e+38,-3.365326407961369e+55,-1.2055959220062229e+39
-9.828922158151401e+38,-1.1556643663470102e+56,-2.728747646948672e+39
-2.1714858620674556e+39,-3.927538194849325e+56,-5.957119915054682e+39
-5.045266656984133e+39,-1.3802068390654442e+57,-1.3822591126598166e+40
-1.1464822837807496e+40,-4.744790897626239e+57,-3.081536607102193e+40
-2.7431706529892627e+40,-1.6304881537132445e+58,-6.760290535752415e+40
-6.710126858220719e+40,-5.648050172200821e+58,-1.6090381248411765e+41
-1.5844074416319914e+41,-1.9610060755392248e+59,-3.8714810218851704e+41
-3.96583982442199e+41,-6.583682457280541e+59,-8.950853854634885e+41
-9.408895847544313e+41,-2.3039592282955273e+60,-1.9625455220611173e+42
-2.2315140617517723e+42,-7.876963049256417e+60,-4.665801772957209e+42
-5.5410507093754094e+42,-2.6894345039211993e+61,-1.0737221648033358e+43
-1.3407838746231611e+43,-8.960903608196565e+61,-2.36098968356167e+43
-3.078034685763419e+43,-3.030229943407492e+62,-5.357119760281516e+43
-7.123201456402246e+43,-1.047381147341157e+63,-1.2051086767536797e+44
-1.738695253669627e+44,-3.566292668711039e+63,-2.7809746654571155e+44
-4.1482491360294e+44,-1.2335444763990018e+64,-6.462260133108527e+44
-9.566589901563693e+44,-4.2796239945357425e+64,-1.4395161398327227e+45
-2.2722276465953366e+45,-1.523627247210995e+65,-3.3129913754780474e+45
-5.42765178763388e+45,-5.341729198317849e+65,-7.167862843581598e+45
-1.2103867084101771e+46,-1.8572547307878213e+66,-1.6494176662890346e+46
-2.712181885284573e+46,-6.4759925913363686e+66,-3.6863665755944606e+46
-5.587757142583864e+46,-2.2149970165680865e+67,-8.105357473845533e+46
-1.2785596043679986e+47,-7.557254404973659e+67,-1.8701966624337477e+47
-2.761924189324429e+47,-2.5690530737982546e+68,-4.341968013250746e+47
-6.171449610307884e+47,-8.881678883116053e+68,-1.060555463787847e+48
-1.224765923192083e+48,-2.9929347913884094e+69,-2.6064880704542582e+48
-2.5012117449074175e+48,-1.0588484654927166e+70,-6.035958237435616e+48
-5.4223995885313755e+48,-3.7471228198826797e+70,-1.394662294501442e+49
-1.15471165891197e+49,-1.3361677796026157e+71,-3.1799499974185075e+49
-2.527949681114904e+49,-4.629013450205969e+71,-7.475972909619667e+49
-5.326379886181205e+49,-1.5476120327786778e+72,-1.6821891054744488e+50
-1.2871772269153624e+50,-5.373319735907023e+72,-3.850571129456788e+50
-3.454653191037937e+50,-1.871398122360728e+73,-9.27079468852122e+50
-8.293347672839865e+50,-6.602760355235102e+73,-2.12218021075035e+51
-1.9809063384816667e+51,-2.2385061236460298e+74,-4.9635510408567385e+51
-4.648353325750753e+51,-7.475293591392243e+74,-1.1876839857706224e+52
-1.0830610805360446e+52,-2.5980314221418553e+75,-2.9442915704024345e+52
-2.6659788121755946e+52,-9.137659177185136e+75,-7.312463603323173e+52
-6.362255779749919e+52,-3.117411395207939e+76,-1.7342274649563998e+53
-1.4548781923281265e+53,-1.0579516222738712e+77,-4.0909797203505236e+53
-3.2760209890321347e+53,-3.6626246829854505e+77,-9.569974165552044e+53
-7.554650132155316e+53,-1.2473685311852144e+78,-2.294096642460603e+54
-1.579858195888018e+54,-4.336348778429278e+78,-5.513926237770019e+54
-3.7086683066660344e+54,-1.5227684640361606e+79,-1.2383398060103682e+55
-7.929042782531045e+54,-5.2614914762825656e+79,-3.0453726230924265e+55
-1.7157692515563695e+55,-1.8081027805614559e+80,-7.736827258629941e+55
-3.7117998761561476e+55,-6.266348415057849e+80,-1.820564817866253e+56
-7.936782712611709e+55,-2.092029363524201e+81,-4.443469240313905e+56
-1.7326263375679668e+56,-7.077936432824499e+81,-9.75195310798479e+56
-3.7351533665710177e+56,-2.3936700388296435e+82,-2.3149637802482126e+57
-7.827712277131063e+56,-8.157394680576409e+82,-5.4567203462542415e+57
-1.7364306700549487e+57,-2.8702268804072415e+83,-1.3809943039291931e+58
-3.750738968347599e+57,-1.002699051285361e+84,-3.5794612072292573e+58
-8.162615409484902e+57,-3.41754277288901e+84,-8.400917568873775e+58
-1.9863225256834517e+58,-1.1828700842504564e+85,-1.972589528748629e+59
-4.643876156862424e+58,-4.114337803360887e+85,-4.866939305677254e+59
-1.155487222724347e+59,-1.4023230153915603e+86,-1.108912852765647e+60
-2.779505172851659e+59,-4.8040848941684905e+86,-2.512272287171095e+60
-6.552161525733149e+59,-1.6310745833391534e+87,-5.64096957302321e+60
-1.5609109860551645e+60,-5.50578038094015e+87,-1.2725425221407285e+61
-3.522701535893758e+60,-1.910294437341906e+88,-2.96116080370333e+61
-7.759444261388646e+60,-6.505468222572105e+88,-6.233546204859349e+61
-1.8100498670644943e+61,-2.2199646902627086e+89,-1.3814821585420343e+62
-4.2150259343800006e+61,-7.852577209246684e+89,-3.076071253372877e+62
-1.005111121977578e+62,-2.7066459664841437e+90,-6.5704121351096345e+62
-2.350755435104483e+62,-9.349753138649345e+90,-1.4225962493183397e+63
-5.394820814775331e+62,-3.1810285287700888e+91,-3.379565445651405e+63
-1.2207657112475362e+63,-1.0833429145344879e+92,-7.403395339703816e+63
-2.865293279551825e+63,-3.765232313908629e+92,-1.597723822995209e+64
-6.287884537046107e+63,-1.304389908876622e+93,-3.544009950387072e+64
-1.4054990065546835e+64,-4.566549697334341e+93,-8.137883442752154e+64
-3.2420875971230033e+64,-1.5493595834119233e+94,-1.8138506101540033e+65
-7.593420865389151e+64,-5.445852813986544e+94,-4.0609320798128227e+65
-1.6864321188648744e+65,-1.9012149575406956e+95,-8.975877677443533e+65
-3.717726053485439e+65,-6.454810964023179e+95,-2.3655315499542533e+66
-8.446110942232972e+65,-2.268545969181079e+96,-5.4642384546710245e+66
-1.9926221582353633e+66,-7.751682226152569e+96,-1.3114862480744238e+67
-4.347112812751329e+66,-2.665856520869355e+97,-3.03370648579324e+67
-1.00351477627356e+67,-8.992337874645194e+97,-6.732145564839057e+67
-2.2881191173493337e+67,-3.137736886223917e+98,-1.4300780187330535e+68
-5.133699912608306e+67,-1.0568269462756028e+99,-3.0550484442633685e+68
-1.113946762937778e+68,-3.573318991410118e+99,-5.984009807557233e+68
-2.571255688316959e+68,-1.18043631354923e+100,-1.2313856173072152e+69
-5.941694868455467e+68,-4.078113641424481e+100,-2.635547760494132e+69
-1.3223267022483524e+69,-1.4229309167838675e+101,-5.406063146035507e+69
-2.8189725426147938e+69,-4.911447630559967e+101,-1.1520429688140843e+70
-6.305948107141351e+69,-1.6645721812439347e+102,-2.5587455667660955e+70
-1.3319692219050321e+70,-5.843203153602321e+102,-5.378304967040052e+70
-2.938049281378758e+70,-2.037022554954528e+103,-1.2252019595622127e+71
-6.495388254840415e+70,-7.034685202122344e+103,-2.669804526305694e+71
-1.3695486843372493e+71,-2.469627731889998e+104,-5.889894600989522e+71
-2.969836450344195e+71,-8.607476482694351e+104,-1.2902959320143964e+72
-7.269408133695085e+71,-2.9354081540251436e+105,-2.9640413649926103e+72
-1.6547636140463087e+72,-1.0403831428253993e+106,-6.775034473280424e+72
-3.813264189974751e+72,-3.5867501625133762e+106,-1.5230770542117934e+73
-8.904764987387384e+72,-1.2097205022681507e+107,-3.662205482382119e+73
-1.9905102688233965e+73,-4.23645301373849e+107,-8.280683557816481e+73
-4.418743653637432e+73,-1.4852675786068723e+108,-1.8128595832306618e+74
-9.926897302404957e+73,-5.094099858221463e+108,-4.001615699081633e+74
-2.335591766641208e+74,-1.7756902192816419e+109,-8.568038295936924e+74
-5.016511433443488e+74,-6.027312814390329e+109,-1.929712069957192e+75
-1.115225810650258e+75,-2.041308852406518e+110,-4.415726291518822e+75
-2.612608485387164e+75,-7.136082514487015e+110,-1.0293015746243612e+76
-6.238447726935208e+75,-2.5197799628648284e+111,-2.3052496775224216e+76
-1.4012254551209593e+76,-8.692278050842895e+111,-5.1599735261161654e+76
-3.317397321624023e+76,-2.9619914591821348e+112,-1.1914900212251609e+77
