hgapso,logapso
968775.3593187496,1492788.7582035414
629105.3198466381,1492788.7582035414
401540.6079625571,1492788.7582035414
267955.2909832805,1492788.7582035414
176204.69169019617,1492788.7582035414
123048.62744251709,1492788.7582035414
84763.05105752495,1492788.7582035414
61837.94783753869,1470820.5895696168
48247.222993102325,1412442.9820140915
39159.91802261514,1399341.309703476
32997.52629289719,1325260.2413092095
28477.138814905473,1284874.809821286
25804.004174893053,1275376.4580856748
23841.604949099303,1275376.4580856748
22734.21841900039,1252750.6504664677
22081.76285047383,1226178.1673920923
21637.34187076764,1207169.2480477616
21335.83563592488,1197788.821893909
21272.80625969483,1188337.1381807935
21167.843224600154,1163242.7429075898
21070.593223563927,1150132.799774373
21067.653334128212,1127408.6453742874
21039.970835747452,1121969.0802912016
21034.19893011389,1107392.050581141
21034.19893011389,1093621.8110043881
21034.19893011389,1084810.3177930063
21034.19893011389,1064506.4465899311
21034.19893011389,1055477.9925377532
21034.19893011389,1040483.350227713
21034.19893011389,1022338.0286682397
21034.19893011389,1007850.2974962245
21034.19893011389,993830.6446747001
21034.19893011389,972001.7469104237
21034.19893011389,963052.6069889326
21034.19893011389,955635.8398535105
21034.19893011389,941570.7415155272
21034.19893011389,929625.3959793994
21034.19893011389,916696.2465187609
21034.19893011389,904595.1049857645
21034.19893011389,898813.3297923487
21034.19893011389,885223.292502981
21034.19893011389,871254.304833509
21034.19893011389,862946.3154668355
21034.19893011389,856723.3939630848
21034.19893011389,844514.1873931901
21034.19893011389,837161.9578833102
21034.19893011389,831161.3103096463
21034.19893011389,822595.2217647003
21034.19893011389,816774.2299103498
21034.19893011389,807936.437312335
21034.19893011389,799407.826103991
21034.19893011389,793742.7967553902
21034.19893011389,788605.5593308575
21034.19893011389,781181.8425257761
21034.19893011389,775056.7863411211
21034.19893011389,768671.088982927
21034.19893011389,762668.5008237632
21034.19893011389,755413.958310769
21034.19893011389,745628.0641844269
21034.19893011389,741015.5145860261
21034.19893011389,735168.038185348
21034.19893011389,729833.1366487716
21034.19893011389,724171.9847701688
21034.19893011389,717636.614533698
21034.19893011389,712770.5722442938
21034.19893011389,707398.5514276937
21034.19893011389,703345.1694724044
21034.19893011389,698535.0520878468
21034.19893011389,694949.0983489389
21034.19893011389,691169.4261920868
21034.19893011389,687246.4093390444
21034.19893011389,682282.9549540364
21034.19893011389,678242.0986831211
21034.19893011389,674318.8271834627
21034.19893011389,671573.1220640888
21034.19893011389,667268.8662466912
21034.19893011389,663651.6342988389
21034.19893011389,660017.6957148708
21034.19893011389,656581.9518156664
21034.19893011389,652887.5340165833
21034.19893011389,649852.7761140743
21034.19893011389,647093.8234396947
21034.19893011389,644592.8223854898
21034.19893011389,641885.6890198473
21034.19893011389,639260.6263834293
21034.19893011389,636886.0943939618
21034.19893011389,634390.9216750755
21034.19893011389,632215.6202305749
21034.19893011389,629542.3223517603
21034.19893011389,627442.1111432507
21034.19893011389,625129.597227947
21034.19893011389,622853.6661498984
21034.19893011389,620832.7993186817
21034.19893011389,618772.5413660231
21034.19893011389,616795.8442451182
21034.19893011389,615050.835172963
21034.19893011389,613183.3651120386
21034.19893011389,611318.7278838692
21034.19893011389,609393.4380338963
21034.19893011389,607487.903458575
21034.19893011389,605630.5729080867
21034.19893011389,603642.9102220519
21034.19893011389,601847.0169112793
21034.19893011389,600029.742378172
21034.19893011389,598312.8945214385
21034.19893011389,596384.700481972
21034.19893011389,594534.0566691095
21034.19893011389,592698.2129428993
21034.19893011389,590686.3424146659
21034.19893011389,588833.0144390048
21034.19893011389,586800.6187645448
21034.19893011389,584985.2226736142
21034.19893011389,583054.8194347239
21034.19893011389,581144.5843131632
21034.19893011389,579348.6914675497
21034.19893011389,577404.6621334901
21034.19893011389,575663.6095620728
21034.19893011389,573774.8633720449
21034.19893011389,571828.1013749649
21034.19893011389,569951.5047225887
21034.19893011389,568175.4513071062
21034.19893011389,566143.1281348612
21034.19893011389,564354.4738031372
21034.19893011389,562420.452570728
21034.19893011389,560601.7471306475
21034.19893011389,558838.6962632232
21034.19893011389,556918.7704429203
21034.19893011389,554963.0579942703
21034.19893011389,553086.5547278074
21034.19893011389,551177.0077971787
21034.19893011389,549328.1362950382
21034.19893011389,547603.1922784045
21034.19893011389,545775.0484009024
21034.19893011389,544084.9409665584
21034.19893011389,542400.4592992574
21034.19893011389,540649.0436041511
21034.19893011389,538823.6794535231
21034.19893011389,537274.4941771192
21034.19893011389,535528.2970079817
21034.19893011389,533770.8591600283
21034.19893011389,531973.3785341193
21034.19893011389,530105.6776970996
21034.19893011389,528333.5224635681
21034.19893011389,526428.7291012465
21034.19893011389,524705.8681388063
21034.19893011389,522941.114868458
21034.19893011389,520978.91736087855
21034.19893011389,519227.3104561443
21034.19893011389,517395.5378299062
21034.19893011389,515735.3823455974
21034.19893011389,513932.7217375655
21034.19893011389,512129.5039430728
21034.19893011389,510413.6321405381
21034.19893011389,508693.6186617119
21034.19893011389,507058.43054344197
21034.19893011389,505285.98314232676
21034.19893011389,503736.780517591
21034.19893011389,501849.3179149676
21034.19893011389,500118.82802884514
21034.19893011389,498416.85966423276
21034.19893011389,496724.1639421503
21034.19893011389,494990.0425001703
21034.19893011389,493229.750528151
21034.19893011389,491551.57113901246
21034.19893011389,489895.455704052
21034.19893011389,488257.4176928072
21034.19893011389,486586.7218485734
21034.19893011389,484893.1194530668
21034.19893011389,483163.5624283676
21034.19893011389,481334.27182681375
21034.19893011389,479681.1672019263
21034.19893011389,477948.56566487625
21034.19893011389,476304.7494233019
21034.19893011389,474639.8984951908
21034.19893011389,473027.34618842264
21034.19893011389,471325.0626878175
21034.19893011389,469671.4936973805
21034.19893011389,467900.7677078539
21034.19893011389,466255.0358029598
21034.19893011389,464632.21799414314
21034.19893011389,462857.99914631585
21034.19893011389,461195.60495867085
21034.19893011389,459496.42395388184
21034.19893011389,457871.8056188802
21034.19893011389,456158.1421101842
21034.19893011389,454454.85193719633
21034.19893011389,452781.61746213696
21034.19893011389,451083.07703862025
21034.19893011389,449354.0010927478
21034.19893011389,447736.5722722206
21034.19893011389,446019.71696339536
21034.19893011389,444507.9612483533
21034.19893011389,442872.94694
21034.19893011389,441272.0466462908
21034.19893011389,439673.02855943737
21034.19893011389,438124.81902491563
21034.19893011389,436519.6100471653
21034.19893011389,435001.43274995097
21034.19893011389,433465.45917093416
21034.19893011389,431851.810226336
,430283.71748480725
,428746.606232792
,427164.35449784
,425687.67024053505
,424149.17065630946
,422572.61586323456
,421002.6546290636
,419551.12731660565
,417926.4516831085
,416441.28370588
,414901.4632944476
,413345.3102548858
,411929.79746455274
,410374.13275011454
,408947.83220625774
,407464.23279410054
,405975.516609928
,404480.5244707757
,402967.56556781713
,401384.9919974626
,399888.655048031
,398251.96067580115
,396785.2674847816
,395223.543164798
,393665.4341340699
,392091.3285463714
,390564.25170402916
,389066.16118713457
,387542.6581629339
,386046.67630741576
,384413.2799377815
,382759.35681559367
,381316.0185311601
,379655.82205993694
,378123.78449619055
,376611.71915362065
,375148.2692589393
,373603.9231978834
,372244.5793056086
,370734.9933121915
,369315.67761323677
,367886.96560358134
,366356.5795304548
,364900.87494095427
,363455.76852760534
,362041.8134323777
,360512.97154735716
,359163.5340680793
,357636.33210440906
,356248.212872839
,354775.81555027683
,353265.4980012999
,351807.97937025863
,350389.138237671
,348978.3363320263
,347539.4241827505
,346158.50608267717
,344800.75354436727
,343376.4216138682
,342055.2354355923
,340690.5446444944
,339383.41457737435
,338080.3092469176
,336791.79721365514
,335490.2364143061
,334133.27940489876
,332817.2767826213
,331331.82118743414
,329995.79062062106
,328538.009005695
,327230.06034317997
,325859.055747524
,324455.3421343248
,323258.2672382088
,321854.10328181804
,320458.06171838695
,319127.3737104814
,317847.22870964615
,316545.4349298124
,315263.68017260777
,313984.12164895673
,312748.1808133109
,311456.1996951389
,310112.02002185263
,308826.03838817467
,307387.91081636515
,306113.9390553377
,304772.4399593398
,303307.6603055548
,302046.9132910452
,300762.0708214172
,299236.1356810289
,297870.12077703315
,296428.3855087056
,295069.16869686206
,293682.790355792
,292342.2394783401
,291064.05466159683
,289720.2129822624
,288353.1886048124
,287060.1587835119
,285813.34961318545
,284459.5313860978
,283181.47494065686
,281814.8786554326
,280587.2647758612
,279254.9573771998
,277982.42262134387
,276670.64819209307
,275395.7401211039
,274121.50481969974
,272780.3169252404
,271513.14990452444
,270206.6891680927
,268937.58884605777
,267715.992663361
,266337.132803737
,265086.86062614294
,263761.06579082704
,262535.4457569859
,261294.46465937607
,260194.4019039811
,259006.07311084395
,257934.34688707947
,256877.9128808959
,255603.1450026816
,254539.70398561232
,253339.86900811185
,252121.23047937453
,250850.2737644973
,249665.9439628687
,248469.5400969224
,247252.25163839053
,246028.6904386031
,244846.98453950803
,243612.12928673252
,242516.57566635328
,241254.0406979078
,240116.10759187635
,238941.7596596648
,237769.419892928
,236621.62547376278
,235472.9795218233
,234425.58884264884
,233128.5020357725
,232050.76713240411
,230959.0979322196
,229841.14187485696
,228744.43532240723
,227659.36533597996
,226484.44388154484
,225457.81573100938
,224221.54848634047
,223080.5797045954
,221846.7394690939
,220696.0797963656
,219397.31619368936
,218299.76601642865
,217101.38054555253
,215942.95531349402
,214939.42912981784
,213782.77138776387
,212785.6701169915
,211627.5150372348
,210490.1450317217
,209383.2028397508
,208371.70860317888
,207306.936733564
,206219.31116595323
,205156.63007089373
,204034.1906755716
,202962.4683928984
,201749.10586676715
,200592.7103500447
,199462.56959443138
,198388.04272504436
,197287.73727895954
,196288.0504096921
,195196.63876498485
,194171.71815745407
,193124.02831398137
,192085.3780205965
,191115.4384530639
,190017.95053491724
,189068.4893598753
,188020.67578751402
,187092.0310973244
,186028.23355047917
,185050.99334444862
,183966.9832509209
,182935.39881067784
,181875.73712723178
,180844.83405464247
,179804.92044880742
,178784.97757708124
,177838.1448126075
,176794.92188324366
,175778.99928572867
,174851.3190011305
,173819.09590605268
,172896.80406840838
,171972.65525478483
,170946.74398087204
,170080.09130736213
,169107.10949361697
,168168.63502960053
,167244.5760151077
,166301.74244257747
,165391.77482149474
,164459.54672117942
,163553.51221102418
,162552.2786834242
,161601.76578083084
,160702.27655687646
,159747.9687279278
,158841.35922266074
,157794.60766573309
,156924.83853718103
,155993.87906159944
,155005.92964226217
,154160.4545933727
,153238.19441039526
,152327.3990154831
,151407.3779347163
,150524.57088669552
,149618.89688352688
,148666.95823400948
,147787.12091404424
,146855.13142719702
,145933.92273421335
,145031.26874235994
,144128.48204853947
,143200.2456458863
,142306.37417121386
,141351.16219713376
,140522.57323716843
,139649.42832834244
,138806.0210083151
,137943.45357995786
,137079.75934811163
,136316.77517339683
,135419.47621934998
,134645.92776190903
,133765.17959795496
,132958.24024843445
,132055.63360266032
,131273.24671046954
,130402.55414855247
,129626.25236951075
,128753.02775762878
,127938.89777409336
,127055.57411061387
,126286.27640643681
,125480.56083597828
,124626.0552063463
,123858.7051035119
,123035.22009652256
,122236.75974318986
,121414.89899556937
,120638.81340166957
,119810.87948594223
,119005.46116825748
,118178.56648182543
,117343.70906801618
,116562.9766556292
,115772.53645229162
,114992.25115863621
,114275.03207359344
,113495.4313127411
,112732.1114055581
,111930.7376063535
,111104.09066059781
,110290.66866295389
,109543.08767310735
,108748.54472527248
,107988.22759796136
,107270.95731237376
,106520.5871981885
,105799.09892494348
,105102.84852439759
,104391.09461054447
,103642.15994549854
,102927.18298380783
,102167.20419402226
,101414.48129153656
,100683.08031950344
,99897.79335924408
,99144.73985588185
,98434.87171413982
,97742.03142030633
,97062.93749147543
,96382.5977485877
,95716.76317447817
,95055.89286826453
,94375.90412767278
,93668.33183698838
,92948.9591682237
,92240.422197832
,91486.58644527878
,90859.00962883225
