run,fitness,omega,c1,c2
2,1694.4871681383104,0.7,1.4,1.4
2,917.9650839763331,0.7,1.4,1.4
2,917.9650839763331,0.7,1.4,1.4
2,917.9650839763331,0.7,1.4,1.4
2,917.9650839763331,0.7,1.4,1.4
2,528.7821157655117,0.7,1.4,1.4
2,528.7821157655117,0.7,1.4,1.4
2,528.7821157655117,0.7,1.4,1.4
2,528.7821157655117,0.7,1.4,1.4
2,436.91526019018363,0.7,1.4,1.4
2,370.4786191881111,0.7,1.4,1.4
2,340.04848611203045,0.7,1.4,1.4
2,338.7342517009325,0.7,1.4,1.4
2,284.44381642420296,0.7,1.4,1.4
2,284.44381642420296,0.7,1.4,1.4
2,230.39056504587595,0.7,1.4,1.4
2,230.39056504587595,0.7,1.4,1.4
2,230.39056504587595,0.7,1.4,1.4
2,214.43849053674506,0.7,1.4,1.4
2,157.1669004223877,0.7,1.4,1.4
2,157.1669004223877,0.7,1.4,1.4
2,157.1669004223877,0.7,1.4,1.4
2,157.1669004223877,0.7,1.4,1.4
2,157.1669004223877,0.7,1.4,1.4
2,146.8554380149012,0.7,1.4,1.4
2,135.51844165032773,0.7,1.4,1.4
2,135.51844165032773,0.7,1.4,1.4
2,135.51844165032773,0.7,1.4,1.4
2,135.51844165032773,0.7,1.4,1.4
2,135.51844165032773,0.7,1.4,1.4
2,130.45289995923324,0.7,1.4,1.4
2,117.0634266368859,0.7,1.4,1.4
2,117.02809249189102,0.7,1.4,1.4
2,115.47273299901101,0.7,1.4,1.4
2,88.24506905910917,0.7,1.4,1.4
2,88.24506905910917,0.7,1.4,1.4
2,87.71299960572621,0.7,1.4,1.4
2,87.71299960572621,0.7,1.4,1.4
2,79.89646493870649,0.7,1.4,1.4
2,79.89646493870649,0.7,1.4,1.4
2,77.09402992308998,0.7,1.4,1.4
2,76.07561734187024,0.7,1.4,1.4
2,71.6741337935964,0.7,1.4,1.4
2,71.6741337935964,0.7,1.4,1.4
2,69.80111662251402,0.7,1.4,1.4
2,66.51804861903257,0.7,1.4,1.4
3,9176396240.689882,0.7,1.4,1.4
3,2395817730.646628,0.7,1.4,1.4
3,2395817730.646628,0.7,1.4,1.4
3,1291525222.221827,0.7,1.4,1.4
3,1126266370.565416,0.7,1.4,1.4
3,1126266370.565416,0.7,1.4,1.4
3,268319970.5742445,0.7,1.4,1.4
3,268319970.5742445,0.7,1.4,1.4
3,268319970.5742445,0.7,1.4,1.4
3,115941354.5835918,0.7,1.4,1.4
3,72017421.17914039,0.7,1.4,1.4
3,36329654.316366866,0.7,1.4,1.4
3,29188296.75857434,0.7,1.4,1.4
3,13693738.501405437,0.7,1.4,1.4
3,13693738.501405437,0.7,1.4,1.4
3,13693738.501405437,0.7,1.4,1.4
3,13693738.501405437,0.7,1.4,1.4
3,13693738.501405437,0.7,1.4,1.4
3,7374676.294023477,0.7,1.4,1.4
3,5553444.28271553,0.7,1.4,1.4
3,2326895.073607316,0.7,1.4,1.4
3,1748328.1341222376,0.7,1.4,1.4
3,594348.5354640225,0.7,1.4,1.4
3,585794.268271142,0.7,1.4,1.4
3,585794.268271142,0.7,1.4,1.4
3,407766.35002896166,0.7,1.4,1.4
3,242016.03383818193,0.7,1.4,1.4
3,242016.03383818193,0.7,1.4,1.4
3,242016.03383818193,0.7,1.4,1.4
3,242016.03383818193,0.7,1.4,1.4
3,241044.29561399782,0.7,1.4,1.4
3,127634.50670262642,0.7,1.4,1.4
3,93870.21027652854,0.7,1.4,1.4
3,56577.07929888699,0.7,1.4,1.4
3,28938.92287219682,0.7,1.4,1.4
3,14107.986579589295,0.7,1.4,1.4
3,14107.986579589295,0.7,1.4,1.4
3,14107.986579589295,0.7,1.4,1.4
3,5156.407813006996,0.7,1.4,1.4
3,2778.554130105919,0.7,1.4,1.4
3,2778.554130105919,0.7,1.4,1.4
3,2778.554130105919,0.7,1.4,1.4
3,2778.554130105919,0.7,1.4,1.4
3,2778.554130105919,0.7,1.4,1.4
3,2292.5094261285494,0.7,1.4,1.4
