c1,c2,fitness,max_iters,omega,pop_size,run,n_clusters
1.49618,1.49618,-511740.79723693634,50,0.55,50,3,2
1.49618,1.49618,-611864.3920858628,50,0.55,50,3,2
1.49618,1.49618,-724479.6480062703,50,0.55,50,3,2
1.49618,1.49618,-831788.3218449359,50,0.55,50,3,2
1.49618,1.49618,-1010369.2733790757,50,0.55,50,3,2
1.49618,1.49618,-1160560.677412862,50,0.55,50,3,2
1.49618,1.49618,-1406191.0308791874,50,0.55,50,3,2
1.49618,1.49618,-1784666.4762066063,50,0.55,50,3,2
1.49618,1.49618,-2136944.5141151715,50,0.55,50,3,2
1.49618,1.49618,-2660564.256552977,50,0.55,50,3,2
1.49618,1.49618,-3683340.5463430374,50,0.55,50,3,2
1.49618,1.49618,-4646742.412353555,50,0.55,50,3,2
1.49618,1.49618,-5946226.502649818,50,0.55,50,3,2
1.49618,1.49618,-7671288.226505168,50,0.55,50,3,2
1.49618,1.49618,-10175534.515385114,50,0.55,50,3,2
1.49618,1.49618,-12546423.482341224,50,0.55,50,3,2
1.49618,1.49618,-16587172.235265177,50,0.55,50,3,2
1.49618,1.49618,-21031609.380903743,50,0.55,50,3,2
1.49618,1.49618,-26637177.34767776,50,0.55,50,3,2
1.49618,1.49618,-34438854.31451014,50,0.55,50,3,2
1.49618,1.49618,-43352961.55993463,50,0.55,50,3,2
1.49618,1.49618,-53660881.1300048,50,0.55,50,3,2
1.49618,1.49618,-69430252.74971962,50,0.55,50,3,2
1.49618,1.49618,-83480738.01503763,50,0.55,50,3,2
1.49618,1.49618,-109645324.8638901,50,0.55,50,3,2
1.49618,1.49618,-140886214.38235146,50,0.55,50,3,2
1.49618,1.49618,-179445123.4699692,50,0.55,50,3,2
1.49618,1.49618,-245664071.0474531,50,0.55,50,3,2
1.49618,1.49618,-315964727.33789647,50,0.55,50,3,2
1.49618,1.49618,-417766122.34577703,50,0.55,50,3,2
1.49618,1.49618,-571645844.9844726,50,0.55,50,3,2
1.49618,1.49618,-740466635.6643481,50,0.55,50,3,2
1.49618,1.49618,-1080425483.2056038,50,0.55,50,3,2
1.49618,1.49618,1878.8364597127015,50,0.55,50,4,2
1.49618,1.49618,625.3034934870824,50,0.55,50,4,2
1.49618,1.49618,-3237.859946210706,50,0.55,50,4,2
1.49618,1.49618,-7021.9076309388765,50,0.55,50,4,2
1.49618,1.49618,-21220.98574243714,50,0.55,50,4,2
1.49618,1.49618,-43059.76594452876,50,0.55,50,4,2
1.49618,1.49618,-75510.66719441654,50,0.55,50,4,2
1.49618,1.49618,-126455.29714590806,50,0.55,50,4,2
1.49618,1.49618,-208537.57839973873,50,0.55,50,4,2
1.49618,1.49618,-313487.02270967746,50,0.55,50,4,2
1.49618,1.49618,-479684.1700016753,50,0.55,50,4,2
1.49618,1.49618,-676981.5860266307,50,0.55,50,4,2
1.49618,1.49618,-933815.2890997333,50,0.55,50,4,2
1.49618,1.49618,-1216305.5061306949,50,0.55,50,4,2
1.49618,1.49618,-1793690.6900935967,50,0.55,50,4,2
1.49618,1.49618,-2304517.9306400996,50,0.55,50,4,2
1.49618,1.49618,-2994812.682640298,50,0.55,50,4,2
1.49618,1.49618,-4108008.51618198,50,0.55,50,4,2
